number,Family,Genus,species,sci_name,variant,sugar_concentration,type,europe,north_america,south_america,africa,asia,australia,reference,notes
100,Lamiaceae,Satureja,sp.,Satureja sp.,,85.0,wild,yes,,,,,,"Meeuse, B. J. (1961). The story of pollination. The Ronald Press Company, New York",
101,Sapindaceae,Acer,pseudoplatanus,Acer pseudoplatanus,,41.5,wild,yes,yes,yes,yes,yes,yes,"Maurizio A & Schaper F (1994). Das Trachtpflanzenbuch. Ehrenwirth Verlag, München.",
102,Boraginaceae,Borago,officinalis,Borago officinalis,,35.5,wild,yes,yes,yes,yes,yes,yes,"Maurizio A & Schaper F (1994). Das Trachtpflanzenbuch. Ehrenwirth Verlag, München.",
103,Boraginaceae,Cynoglossum,officinale,Cynoglossum officinale,,50.5,weed,yes,yes,,,yes,,"Maurizio A & Schaper F (1994). Das Trachtpflanzenbuch. Ehrenwirth Verlag, München.",
104,Boraginaceae,Echium,sp.,Echium sp.,,30.0,,,,,,,,"Maurizio A & Schaper F (1994). Das Trachtpflanzenbuch. Ehrenwirth Verlag, München.",
105,Boraginaceae,Symphytum,sp.,Symphytum sp.,,37.0,wild,yes,,,,,,"Maurizio A & Schaper F (1994). Das Trachtpflanzenbuch. Ehrenwirth Verlag, München.",
106,Boraginaceae,Anchusa,officinalis,Anchusa officinalis,,48.0,weed,yes,yes,,,yes,,"Maurizio A & Schaper F (1994). Das Trachtpflanzenbuch. Ehrenwirth Verlag, München.",
107,Scrophulariaceae,Veronica,spicata,Veronica spicata,,40.0,wild,yes,yes,,,yes,yes,"Maurizio A & Schaper F (1994). Das Trachtpflanzenbuch. Ehrenwirth Verlag, München.",
108,Araliaceae,Hedera,helix,Hedera helix,,14.5,wild,yes,yes,yes,yes,yes,yes,"Maurizio A & Schaper F (1994). Das Trachtpflanzenbuch. Ehrenwirth Verlag, München.",
109,Ranunculaceae,Eranthis,hyemalis,Eranthis hyemalis,,25.8,wild,yes,yes,,,,,"Maurizio A & Schaper F (1994). Das Trachtpflanzenbuch. Ehrenwirth Verlag, München.",
110,Ericaceae ,Calluna,vulgaris,Calluna vulgaris,,31.0,weed,yes,yes,,yes,yes,yes,"Maurizio A & Schaper F (1994). Das Trachtpflanzenbuch. Ehrenwirth Verlag, München.",
111,Ericaceae ,Vaccinium,sp.,Vaccinium sp.,,20.0,crop,yes,yes,yes,yes,yes,yes,"Maurizio A & Schaper F (1994). Das Trachtpflanzenbuch. Ehrenwirth Verlag, München.",
112,Rosaceae,Rosa,pendulina,Rosa pendulina,,24.0,wild,yes,yes,,,yes,,"Maurizio A & Schaper F (1994). Das Trachtpflanzenbuch. Ehrenwirth Verlag, München.",
